2023-11-12 19:52:54.061 [main] INFO  Freerouting v1.9.0 (build-date: 2023-10-30)
2023-11-12 19:52:55.609 [ForkJoinPool.commonPool-worker-1] INFO  New version available: v1.9.0
2023-11-12 19:54:14.378 [AWT-EventQueue-0] INFO  Opening 'Ava_Shield.dsn'...
2023-11-12 19:54:15.624 [AWT-EventQueue-0] INFO  Opening 'Ava_Shield.rules'...
2023-11-12 19:54:29.498 [AWT-EventQueue-0] WARN  Network.insert_net_class: clearance class not found at '5V_Digital'
2023-11-12 19:54:57.717 [Thread-35] INFO  Starting auto-routing...
2023-11-12 19:55:06.335 [Thread-35] INFO  Auto-routing was completed in 8,62 seconds.
2023-11-12 19:55:06.444 [Thread-35] INFO  Starting route optimization on 1 thread...
2023-11-12 19:55:06.450 [Thread-35] INFO  Route optimization was completed in 0,00 seconds.
2023-11-12 19:56:10.866 [Thread-63] INFO  Starting auto-routing...
2023-11-12 20:00:14.100 [Thread-63] INFO  Auto-routing was completed in 4 minute(s) 3,23 seconds.
2023-11-12 20:00:14.210 [Thread-63] INFO  Starting route optimization on 1 thread...
2023-11-12 20:00:14.211 [Thread-63] INFO  Route optimization was completed in 0,00 seconds.
2023-11-12 20:00:19.292 [Thread-86] INFO  Starting auto-routing...
2023-11-12 20:03:47.544 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.553 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.557 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.560 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.563 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.564 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.565 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.567 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.568 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.569 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.570 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.571 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.573 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.574 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.575 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.577 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.579 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
2023-11-12 20:03:47.584 [AWT-EventQueue-0] WARN  NetIncompletes.calculate_net_items: too many items
